,Sample Number,Lubrication Condition,Pin Material,Weight (kg),RPM,wear0,wear1,wear2,friction0,friction1,friction2
74,75,Full Lubrication,Brass,10,200,154.1205882352941,156.2641176470588,156.93,10.584117647058822,10.565882352941175,10.528235294117646
75,76,Full Lubrication,Brass,10,250,84.03764705882354,93.36117647058825,94.44411764705882,10.100000000000001,10.034117647058824,10.01705882352941
76,77,Full Lubrication,Brass,11,100,140.48235294117646,142.76529411764704,143.37117647058824,13.302352941176471,13.306470588235294,13.294117647058824
77,78,Full Lubrication,Brass,11,150,159.71588235294118,161.68,165.3847058823529,12.447058823529412,12.451764705882354,12.486470588235292
78,79,Full Lubrication,Brass,11,200,161.32176470588234,168.01,163.83352941176472,11.884705882352941,11.847058823529412,11.877058823529412
79,80,Full Lubrication,Brass,11,250,109.33352941176472,116.97647058823529,119.24882352941178,11.379411764705882,11.315882352941177,11.341764705882353
80,81,Full Lubrication,Aluminium,2,100,38.68294117647059,40.818823529411766,41.07,1.5494117647058825,1.5552941176470587,1.54
81,82,Full Lubrication,Aluminium,2,150,38.58588235294118,37.96647058823529,38.125882352941176,1.4435294117647057,1.4476470588235293,1.4517647058823528
82,83,Full Lubrication,Aluminium,2,200,27.388823529411766,28.07176470588235,28.61941176470588,1.1711764705882353,1.1958823529411764,1.2041176470588237
83,84,Full Lubrication,Aluminium,2,250,18.63235294117647,19.480588235294114,18.716470588235293,1.1323529411764706,1.086470588235294,1.0923529411764705
84,85,Full Lubrication,Aluminium,3,100,39.21058823529412,39.84470588235294,40.40117647058823,2.5764705882352943,2.571764705882353,2.5894117647058823
85,86,Full Lubrication,Aluminium,3,150,39.24235294117647,39.207647058823525,38.78058823529412,2.3847058823529412,2.3647058823529408,2.350588235294117
86,87,Full Lubrication,Aluminium,3,200,36.10588235294118,36.076470588235296,36.764117647058825,2.12,2.1100000000000003,2.106470588235294
87,88,Full Lubrication,Aluminium,3,250,8.511764705882353,12.923529411764704,12.718235294117646,1.9823529411764707,1.9629411764705882,1.9829411764705882
88,89,Full Lubrication,Aluminium,4,100,42.85235294117647,40.523529411764706,40.01764705882353,3.71,3.7088235294117644,3.682941176470589
89,90,Full Lubrication,Aluminium,4,150,69.24764705882355,69.57764705882353,70.13117647058823,3.2570588235294116,3.2329411764705887,3.2282352941176473
90,91,Full Lubrication,Aluminium,4,200,72.76058823529412,72.21588235294118,71.5635294117647,3.001176470588235,2.9976470588235293,2.9935294117647056
91,92,Full Lubrication,Aluminium,4,250,44.194117647058825,43.98529411764706,44.44176470588235,2.7747058823529414,2.7852941176470587,2.783529411764706
92,93,Full Lubrication,Aluminium,5,100,75.14647058823527,76.38,74.59823529411766,4.965294117647058,4.9799999999999995,4.974117647058824
93,94,Full Lubrication,Aluminium,5,150,94.02,78.81882352941176,81.90235294117647,4.5858823529411765,4.59235294117647,4.587647058823529
94,95,Full Lubrication,Aluminium,5,200,83.0794117647059,145.80235294117645,166.96470588235294,4.308235294117647,4.297058823529412,4.286470588235295
95,96,Full Lubrication,Aluminium,5,250,208.89235294117645,210.7705882352941,212.02764705882353,4.0717647058823525,4.057058823529411,4.076470588235294
